mid,name,rank,birthd0y,sign,level,vipType,vipStatus,following,fans
21562404,'一朵诱人的小菊花',10000,0,1,1,1,0,446,1
21562405,'cassielau1990',10000,0,0,1,1,1,90,0
21562406,'ffjsunshine',10000,0,0,1,0,0,11,0
21562407,'ZHitlerZ',10000,1,1,1,0,0,6,1
21562408,'wenjan',10000,0,0,1,1,0,25,1
21562409,'小爷很骚',10000,0,0,0,0,0,3,0
21562410,'弄昵称好烦',10000,0,0,0,0,0,2,0
21562411,'范源丹德华',10000,0,0,1,1,0,175,2
21562413,'玖玖owo',5000,0,0,0,0,0,7,0
21562414,'了了zzz',10000,0,0,1,0,0,14,0
21562415,'Kayalolo',5000,0,0,0,0,0,1,0
21562416,'今天也要六点半起床',10000,0,0,1,0,0,16,0
21562417,'糖初初。',10000,0,0,1,0,0,63,0
21562419,'蓝雨晴',10000,0,0,0,0,0,0,0
21562422,'Neal雪莉',10000,0,0,1,1,0,71,0
21562424,'吃完麻辣烫还想跑',10000,1,1,1,2,1,944,4
21562425,'星星两毛不闪包退',10000,1,1,1,1,1,239,7
21562426,'push250',10000,0,0,0,0,0,1,0
21562428,'limocat',10000,1,1,1,1,0,189,0
21562429,'嚒嚒锐',10000,0,0,0,0,0,7,0
21562430,'蓝颜歆',10000,0,0,1,0,0,0,0
21562431,'倩倩sept',10000,0,0,0,0,0,1,0
21562432,'Abbychu',10000,0,1,1,1,0,20,0
21562433,'雪珑钰',10000,1,1,1,2,1,486,289
21562434,'菲比妹',10000,0,0,0,0,0,4,0
21562435,'萌小喵嘉',5000,0,1,0,0,0,10,0
21562436,'傲游这一季',5000,0,1,0,0,0,0,0
21562437,'小鄉',10000,0,0,0,0,0,0,0
21562438,'广东第一富婆',10000,1,1,1,1,0,84,1
21562440,'刘九思',5000,0,0,0,0,0,31,0
21562441,'啊鸣哟',10000,0,0,1,1,0,281,14
21562443,'bili_21562443',5000,0,0,0,0,0,0,1
21562444,'太阳你个胖香蕉',10000,0,1,1,2,1,107,5
21562445,'jenningxu',10000,0,0,0,0,0,0,1
21562447,'MiracleBear',10000,1,1,1,0,0,342,1
21562448,'fffffffhhhh',5000,0,0,0,0,0,12,0
21562449,'RickyFan',10000,0,0,1,1,1,73,0
21562450,'大老师总是如此懒惰',10000,0,1,1,2,1,60,1
21562451,'上官假酒',10000,1,1,1,1,0,1427,6
21562452,'西西醬',10000,0,0,0,0,0,0,0
21562453,'叫我大歌',10000,0,0,0,0,0,0,0
21562454,'狗卷棘才是无敌的',10000,0,0,1,1,0,252,1
21562455,'凹形尾',10000,1,0,1,1,0,513,9
21562456,'刘琦琦琦琦',5000,0,0,0,0,0,17,0
21562457,'刘火焰',10000,0,0,0,0,0,1,0
21562459,'媛_SY',10000,1,1,1,0,0,261,199
21562461,'呵呵你个呵呵呵',10000,1,0,0,0,0,6,0
21562463,'健忘症患者卡某',10000,1,0,1,2,1,570,8
21562464,'RyanYao',10000,0,0,1,0,0,67,0
21562465,'狂月madmoon',10000,1,0,1,1,0,858,41
21562466,'白安777',10000,0,0,1,0,0,5,0
21562467,'伞下是晴天',5000,0,1,0,0,0,0,0
21562468,'dongyangzheng',10000,0,0,1,0,0,5,0
21562469,'静心备考中',10000,1,0,1,1,0,45,1
21562471,'布布布撸丝丝',10000,0,1,1,1,0,503,19
21562472,'山城雾都火锅',10000,1,0,1,1,0,412,1
21562473,'-也一-',10000,0,1,1,0,0,35,85
21562474,'shiyumeng1',5000,0,0,0,0,0,0,1
21562475,'阿希莱芙特',10000,0,0,1,1,0,202,1
21562476,'一坨番茄炒鸡蛋',10000,0,0,1,2,1,216,0
21562478,'长颈鹿的脖子有点长',5000,0,0,0,0,0,3,0
21562479,'ErErgyyy',10000,1,0,1,1,0,88,1
21562480,'想念1',10000,0,0,1,0,0,73,1
21562481,'WAW这样好吗',10000,1,1,1,1,0,52,0
21562482,'☆柠萌',10000,0,0,0,0,0,0,1
21562483,'神仙小土豆',10000,1,1,1,1,0,21,1
21562487,'阳光日暖微微醺',10000,0,0,1,1,0,372,0
